"Fecha_reporte","Estado","Casos","Tasa de incidencia","Ambulatorios","Hospitalizados","Altas","Incidencia"
"2022-09-19","Guerrero",1,0.03,NA,NA,NA,0
"2022-09-19","Hidalgo",3,0.1,NA,NA,NA,1
"2022-09-19","Jalisco",192,2.24,NA,NA,NA,36
"2022-09-19","Michoacán",2,0.04,NA,NA,NA,0
"2022-09-19","Morelos",9,0.43,NA,NA,NA,3
"2022-09-19","Nayarit",6,0.45,NA,NA,NA,0
"2022-09-19","Nuevo León",13,0.23,NA,NA,NA,2
"2022-09-19","Oaxaca",5,0.12,NA,NA,NA,1
"2022-09-19","Puebla",8,0.12,NA,NA,NA,2
"2022-09-19","Querétaro",4,0.17,NA,NA,NA,0
"2022-09-19","Quintana Roo",37,2.06,NA,NA,NA,9
"2022-09-19","San Luis Potosí",1,0.03,NA,NA,NA,0
"2022-09-19","Sinaloa",5,0.16,NA,NA,NA,0
"2022-09-19","Sonora",3,0.1,NA,NA,NA,0
"2022-09-19","Tabasco",17,0.65,NA,NA,NA,4
"2022-09-19","Tamaulipas",2,0.05,NA,NA,NA,0
"2022-09-19","Tlaxcala",0,NA,NA,NA,NA,0
"2022-09-19","Veracruz",7,0.08,NA,NA,NA,0
"2022-09-19","Yucatán",61,2.64,NA,NA,NA,2
"2022-09-19","Zacatecas",3,0.18,NA,NA,NA,2
"2022-09-27","Aguascalientes",6,0.41,NA,NA,NA,1
"2022-09-27","Baja California",13,0.35,NA,NA,NA,3
"2022-09-27","Baja California Sur",1,0.12,NA,NA,NA,0
"2022-09-27","Campeche",3,0.29,NA,NA,NA,0
"2022-09-27","Chiapas",20,0.34,NA,NA,NA,0
"2022-09-27","Chihuahua",8,0.21,NA,NA,NA,1
"2022-09-27","Ciudad de México",967,10.76,NA,NA,NA,153
"2022-09-27","Coahuila",6,0.18,NA,NA,NA,3
"2022-09-27","Colima",3,0.37,NA,NA,NA,1
"2022-09-27","Durango",0,NA,NA,NA,NA,0
"2022-09-27","Estado de México",141,0.79,NA,NA,NA,26
"2022-09-27","Guanajuato",9,0.14,NA,NA,NA,1
"2022-09-27","Guerrero",1,0.03,NA,NA,NA,0
"2022-09-27","Hidalgo",6,0.19,NA,NA,NA,3
"2022-09-27","Jalisco",215,2.51,NA,NA,NA,23
"2022-09-27","Michoacán",4,0.08,NA,NA,NA,2
"2022-09-27","Morelos",12,0.58,NA,NA,NA,3
"2022-09-27","Nayarit",9,0.68,NA,NA,NA,3
"2022-09-27","Nuevo León",19,0.33,NA,NA,NA,6
"2022-09-27","Oaxaca",6,0.14,NA,NA,NA,1
"2022-09-27","Puebla",10,0.15,NA,NA,NA,2
"2022-09-27","Querétaro",5,0.21,NA,NA,NA,1
"2022-09-27","Quintana Roo",39,2.17,NA,NA,NA,2
"2022-09-27","San Luis Potosí",1,0.03,NA,NA,NA,0
"2022-09-27","Sinaloa",8,0.25,NA,NA,NA,3
"2022-09-27","Sonora",3,0.1,NA,NA,NA,0
"2022-09-27","Tabasco",24,0.91,NA,NA,NA,7
"2022-09-27","Tamaulipas",3,0.08,NA,NA,NA,1
"2022-09-27","Tlaxcala",0,NA,NA,NA,NA,0
"2022-09-27","Veracruz",10,0.12,NA,NA,NA,3
"2022-09-27","Yucatán",72,3.12,NA,NA,NA,11
"2022-09-27","Zacatecas",3,0.18,NA,NA,NA,0
"2022-10-04","Aguascalientes",7,0.48,NA,NA,NA,1
